0 1 Tree-Values split 1 0.981503854030081 55 145 -1.52288401253919 

0 1 NaiveZ split 1 0.00347791040743628 55 145 -1.52288401253919 

0 1 Tree-Values split 2 0.523405652771297 48 7 -3.82440476190476 

0 1 NaiveZ split 2 0.00407620046314028 48 7 -3.82440476190476 

0 1 Tree-Values split 2 0.0283725042090828 124 21 -2.28917050691244 

0 1 NaiveZ split 2 0.00320186581570847 124 21 -2.28917050691244 

0 1 Tree-Values split 3 0.0699800982366843 46 2 -4.58695652173913 

0 1 NaiveZ split 3 0.0536598728590065 46 2 -4.58695652173913 

0 1 Tree-Values split 3 0.479901661019375 5 2 -3.6 

0 1 NaiveZ split 3 0.19106861739583 5 2 -3.6 

0 1 Tree-Values split 3 0.223050120375115 105 19 -2.21503759398496 

0 1 NaiveZ split 3 0.00694158955044077 105 19 -2.21503759398496 

0 1 Tree-Values split 3 0.701039972759221 18 3 -5.94444444444444 

0 1 NaiveZ split 3 0.00377446302247542 18 3 -5.94444444444444 

0.0485158986599909 1 splitting split 1 0.228363132162566 28 72 -0.882936507936508 

0.0485158986599909 1 splitting split 2 0.313436205016831 24 4 -1.79166666666667 

0.0485158986599909 1 splitting split 2 0.486377208235898 30 42 0.547619047619047 

0.0485158986599909 1 splitting split 3 NaN 24 0 NaN 

0.0485158986599909 1 splitting split 3 0.543382878246087 2 2 2 

0.0485158986599909 1 splitting split 3 0.0993010887528061 29 1 -5.51724137931035 

0.0485158986599909 1 splitting split 3 0.475903822018982 2 40 -1.7 

0 2 Tree-Values split 1 0.604922322417826 5 195 -4.83076923076922 

0 2 NaiveZ split 1 0.00166056142447268 5 195 -4.83076923076922 

0 2 Tree-Values split 2 0.982138965108189 2 3 -2.66666666666667 

0 2 NaiveZ split 2 0.389040707311899 2 3 -2.66666666666667 

0 2 Tree-Values split 2 0.0419367987746163 28 167 -2.21278870829769 

0 2 NaiveZ split 2 0.00139782575453595 28 167 -2.21278870829769 

0 2 Tree-Values split 3 0.565701433462865 1 2 -1 

0 2 NaiveZ split 3 0.809743475302823 1 2 -1 

0 2 Tree-Values split 3 0.775856169208164 25 3 -3.88 

0 2 NaiveZ split 3 0.0611457884109858 25 3 -3.88 

0 2 Tree-Values split 3 0.573185395043974 166 1 -8.3012048192771 

0 2 NaiveZ split 3 0.0146709078892278 166 1 -8.3012048192771 

0.0409983928629998 2 splitting split 1 0.27266400596223 11 89 -1.18896833503575 

0.0409983928629998 2 splitting split 2 0.383456592961859 10 1 -3.1 

0.0409983928629998 2 splitting split 2 0.0288370226070069 1 88 -7.45454545454546 

0.0409983928629998 2 splitting split 3 0.674776595919367 8 2 1.125 

0.0409983928629998 2 splitting split 3 NaN 1 0 NaN 

0.0409983928629998 2 splitting split 3 NaN 88 0 NaN 

0 3 Tree-Values split 1 0.839423162858747 128 72 -1.39236111111111 

0 3 NaiveZ split 1 0.0038301604384241 128 72 -1.39236111111111 

0 3 Tree-Values split 2 0.862837797813682 58 70 -1.61379310344828 

0 3 NaiveZ split 2 0.0054225745833989 58 70 -1.61379310344828 

0 3 Tree-Values split 2 0.48958172207228 43 29 -2.08019246190858 

0 3 NaiveZ split 2 0.00808005372727427 43 29 -2.08019246190858 

0 3 Tree-Values split 3 0.437783570170142 48 10 -3.0375 

0 3 NaiveZ split 3 0.00750559911290782 48 10 -3.0375 

0 3 Tree-Values split 3 0.411115103749114 51 19 -1.89267285861713 

0 3 NaiveZ split 3 0.0311989540571533 51 19 -1.89267285861713 

0 3 Tree-Values split 3 0.497137026317225 4 39 -4.43589743589744 

0 3 NaiveZ split 3 0.00973582982887011 4 39 -4.43589743589744 

0 3 Tree-Values split 3 0.882746095140384 8 21 -2.55952380952381 

0 3 NaiveZ split 3 0.0594493210671416 8 21 -2.55952380952381 

0.0453720508166969 3 splitting split 1 0.890187196768917 56 44 -0.0909090909090917 

0.0453720508166969 3 splitting split 2 0.298976328490746 42 14 -1.04761904761905 

0.0453720508166969 3 splitting split 2 0.994729078500678 5 39 0.0102564102564102 

0.0453720508166969 3 splitting split 3 0.463119866798637 20 22 -0.740909090909092 

0.0453720508166969 3 splitting split 3 0.0318541968599517 4 10 4.15 

0.0453720508166969 3 splitting split 3 NaN 5 0 NaN 

0.0453720508166969 3 splitting split 3 0.95377340650156 35 4 0.0999999999999996 

0 4 Tree-Values split 1 0.588038336476228 122 78 -1.25556956704498 

0 4 NaiveZ split 1 0.00588959756163088 122 78 -1.25556956704498 

0 4 Tree-Values split 2 0.0202821494534976 118 4 -5.75847457627119 

0 4 NaiveZ split 2 0.000316337605572592 118 4 -5.75847457627119 

0 4 Tree-Values split 2 0.0750516966311406 63 15 -3.5047619047619 

0 4 NaiveZ split 2 0.000104898073272297 63 15 -3.5047619047619 

0 4 Tree-Values split 3 0.502139639571458 108 10 -2.41296296296296 

0 4 NaiveZ split 3 0.0202764310537082 108 10 -2.41296296296296 

0 4 Tree-Values split 3 0.946891535999692 2 2 -1.5 

0 4 NaiveZ split 3 0.633391373123114 2 2 -1.5 

0 4 Tree-Values split 3 0.849224335391851 53 10 -2.42264150943396 

0 4 NaiveZ split 3 0.0254616332125461 53 10 -2.42264150943396 

0 4 Tree-Values split 3 0.069149238947368 10 5 -5.3 

0 4 NaiveZ split 3 0.00209207327818772 10 5 -5.3 

0.047945993632772 4 splitting split 1 0.950312807497872 86 14 -0.0564784053156142 

